variant,target,category,removed_defs,run,status,perf_tflops,log
baseline,op6static2sm_b200_blackwell_fmha_mxfp8,main,none,1,ok,1584.24,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/baseline_run1.log
baseline,op6static2sm_b200_blackwell_fmha_mxfp8,main,none,2,ok,1582.84,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/baseline_run2.log
baseline,op6static2sm_b200_blackwell_fmha_mxfp8,main,none,3,ok,1583.2,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/baseline_run3.log
no_crel,op6static2sm_no_crel_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_CREL,1,ok,1579.08,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_crel_run1.log
no_crel,op6static2sm_no_crel_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_CREL,2,ok,1583.19,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_crel_run2.log
no_crel,op6static2sm_no_crel_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_CREL,3,ok,1580.97,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_crel_run3.log
no_e2rsf,op6static2sm_no_e2rsf_b200_blackwell_fmha_mxfp8,main,MXFP8_E2RSF,1,ok,1575.97,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_e2rsf_run1.log
no_e2rsf,op6static2sm_no_e2rsf_b200_blackwell_fmha_mxfp8,main,MXFP8_E2RSF,2,ok,1571.68,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_e2rsf_run2.log
no_e2rsf,op6static2sm_no_e2rsf_b200_blackwell_fmha_mxfp8,main,MXFP8_E2RSF,3,ok,1572.73,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_e2rsf_run3.log
no_exitdb,op6static2sm_no_exitdb_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_EXITDB,1,ok,1559.69,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_exitdb_run1.log
no_exitdb,op6static2sm_no_exitdb_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_EXITDB,2,ok,1558.31,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_exitdb_run2.log
no_exitdb,op6static2sm_no_exitdb_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_EXITDB,3,ok,1562.55,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_exitdb_run3.log
no_n128single,op6static2sm_no_n128single_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_N128SINGLE,1,ok,1465.59,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_n128single_run1.log
no_n128single,op6static2sm_no_n128single_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_N128SINGLE,2,ok,1467.14,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_n128single_run2.log
no_n128single,op6static2sm_no_n128single_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_N128SINGLE,3,ok,1466.66,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_n128single_run3.log
no_vprefetch,op6static2sm_no_vprefetch_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_VPREFETCH,1,ok,1583.35,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_vprefetch_run1.log
no_vprefetch,op6static2sm_no_vprefetch_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_VPREFETCH,2,ok,1583.55,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_vprefetch_run2.log
no_vprefetch,op6static2sm_no_vprefetch_b200_blackwell_fmha_mxfp8,main,MXFP8_2SM_VPREFETCH,3,ok,1583.6,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_vprefetch_run3.log
no_m2_combo,op6static2sm_no_m2_combo_b200_blackwell_fmha_mxfp8,main,MXFP8_M2_COMBO,1,ok,1603.77,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_m2_combo_run1.log
no_m2_combo,op6static2sm_no_m2_combo_b200_blackwell_fmha_mxfp8,main,MXFP8_M2_COMBO,2,ok,1607.56,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_m2_combo_run2.log
no_m2_combo,op6static2sm_no_m2_combo_b200_blackwell_fmha_mxfp8,main,MXFP8_M2_COMBO,3,ok,1604.8,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_m2_combo_run3.log
no_g_combo,op6static2sm_no_g_combo_b200_blackwell_fmha_mxfp8,main,MXFP8_G_COMBO,1,ok,1575.61,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_g_combo_run1.log
no_g_combo,op6static2sm_no_g_combo_b200_blackwell_fmha_mxfp8,main,MXFP8_G_COMBO,2,ok,1575.44,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_g_combo_run2.log
no_g_combo,op6static2sm_no_g_combo_b200_blackwell_fmha_mxfp8,main,MXFP8_G_COMBO,3,ok,1574.13,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_g_combo_run3.log
no_r15_orvlog,op6static2sm_no_r15_orvlog_b200_blackwell_fmha_mxfp8,main,MXFP8_R15_ORVLOG,1,ok,1575.61,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_r15_orvlog_run1.log
no_r15_orvlog,op6static2sm_no_r15_orvlog_b200_blackwell_fmha_mxfp8,main,MXFP8_R15_ORVLOG,2,ok,1573.82,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_r15_orvlog_run2.log
no_r15_orvlog,op6static2sm_no_r15_orvlog_b200_blackwell_fmha_mxfp8,main,MXFP8_R15_ORVLOG,3,ok,1573.64,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_r15_orvlog_run3.log
kv_default,op6static2sm_kv_default_b200_blackwell_fmha_mxfp8,main,MXFP8_KV_STAGES=12,1,ok,1535.93,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/kv_default_run1.log
kv_default,op6static2sm_kv_default_b200_blackwell_fmha_mxfp8,main,MXFP8_KV_STAGES=12,2,ok,1532.97,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/kv_default_run2.log
kv_default,op6static2sm_kv_default_b200_blackwell_fmha_mxfp8,main,MXFP8_KV_STAGES=12,3,ok,1532.83,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/kv_default_run3.log
regsm_default,op6static2sm_regsm_default_b200_blackwell_fmha_mxfp8,main,MXFP8_WS_REGSM;MXFP8_REGSM_SOFTMAX=184,1,ok,1552.19,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/regsm_default_run1.log
regsm_default,op6static2sm_regsm_default_b200_blackwell_fmha_mxfp8,main,MXFP8_WS_REGSM;MXFP8_REGSM_SOFTMAX=184,2,ok,1553.45,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/regsm_default_run2.log
regsm_default,op6static2sm_regsm_default_b200_blackwell_fmha_mxfp8,main,MXFP8_WS_REGSM;MXFP8_REGSM_SOFTMAX=184,3,ok,1553.15,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/regsm_default_run3.log
no_2cta,op6static2sm_no_2cta_b200_blackwell_fmha_mxfp8,main,FMHA_2CTA,1,ok,1574.82,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_2cta_run1.log
no_2cta,op6static2sm_no_2cta_b200_blackwell_fmha_mxfp8,main,FMHA_2CTA,2,ok,1575.34,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_2cta_run2.log
no_2cta,op6static2sm_no_2cta_b200_blackwell_fmha_mxfp8,main,FMHA_2CTA,3,ok,1575.14,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_2cta_run3.log
no_amaxfuse,op6static2sm_no_amaxfuse_b200_blackwell_fmha_mxfp8,sanity,MXFP8_AMAXFUSE,1,ok,1575.53,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_amaxfuse_run1.log
no_amaxfuse,op6static2sm_no_amaxfuse_b200_blackwell_fmha_mxfp8,sanity,MXFP8_AMAXFUSE,2,ok,1573.33,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_amaxfuse_run2.log
no_amaxfuse,op6static2sm_no_amaxfuse_b200_blackwell_fmha_mxfp8,sanity,MXFP8_AMAXFUSE,3,ok,1575.26,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_amaxfuse_run3.log
no_psf_vec16,op6static2sm_no_psf_vec16_b200_blackwell_fmha_mxfp8,sanity,MXFP8_PSF_VEC16,1,ok,1573.85,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_psf_vec16_run1.log
no_psf_vec16,op6static2sm_no_psf_vec16_b200_blackwell_fmha_mxfp8,sanity,MXFP8_PSF_VEC16,2,ok,1574.31,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_psf_vec16_run2.log
no_psf_vec16,op6static2sm_no_psf_vec16_b200_blackwell_fmha_mxfp8,sanity,MXFP8_PSF_VEC16,3,ok,1574.48,/home/ubuntu/workspace/oyhj/staticQuant_mxfp8/Benchmark/FA/b200_blackwell_fmha_mxfp8/ablation_results_20260622_045904/logs/no_psf_vec16_run3.log
